dutyCycle,rpm
0,2280
0,1620
0,1260
0,1020
0,900
0,840
0,840
0,840
0,780
0,780
1,780
1,780
1,780
1,780
1,780
1,780
1,780
1,780
1,780
1,780
2,780
2,780
2,780
2,780
2,780
2,780
2,780
2,780
2,780
2,780
3,780
3,780
3,780
3,840
3,780
3,780
3,780
3,780
3,780
3,780
4,780
4,780
4,780
4,780
4,780
4,780
4,780
4,780
4,780
4,780
5,780
5,780
5,780
5,780
5,780
5,780
5,780
5,780
5,780
5,780
6,780
6,780
6,780
6,780
6,780
6,780
6,780
6,780
6,780
6,780
7,780
7,780
7,780
7,780
7,780
7,780
7,780
7,780
7,780
7,780
8,780
8,780
8,780
8,780
8,780
8,780
8,780
8,780
8,780
8,780
9,780
9,780
9,780
9,780
9,780
9,780
9,780
9,780
9,780
9,780
10,780
10,780
10,780
10,780
10,780
10,780
10,780
10,780
10,780
10,780
11,780
11,780
11,780
11,780
11,780
11,780
11,780
11,780
11,780
11,780
12,780
12,780
12,780
12,780
12,780
12,780
12,780
12,780
12,780
12,780
13,780
13,780
13,780
13,780
13,780
13,780
13,780
13,780
13,780
13,780
14,780
14,780
14,780
14,780
14,780
14,780
14,780
14,780
14,780
14,780
15,780
15,780
15,780
15,780
15,780
15,780
15,780
15,780
15,780
15,780
16,780
16,780
16,780
16,780
16,780
16,780
16,840
16,780
16,780
16,780
17,780
17,780
17,780
17,780
17,780
17,780
17,780
17,780
17,780
17,780
18,780
18,780
18,780
18,780
18,780
18,780
18,780
18,780
18,780
18,780
19,780
19,780
19,780
19,780
19,780
19,780
19,780
19,780
19,780
19,780
20,780
20,780
20,780
20,780
20,780
20,780
20,780
20,780
20,780
20,780
21,780
21,780
21,780
21,780
21,780
21,780
21,780
21,780
21,780
21,780
22,780
22,780
22,780
22,780
22,780
22,780
22,780
22,780
22,780
22,780
23,780
23,780
23,780
23,780
23,780
23,780
23,780
23,780
23,780
23,780
24,780
24,780
24,780
24,780
24,780
24,780
24,780
24,780
24,780
24,780
25,780
25,780
25,780
25,780
25,780
25,780
25,780
25,780
25,780
25,840
26,780
26,840
26,780
26,840
26,840
26,780
26,780
26,780
26,780
26,840
27,840
27,840
27,840
27,900
27,900
27,840
27,840
27,900
27,900
27,840
28,900
28,900
28,900
28,900
28,900
28,900
28,900
28,960
28,900
28,900
29,900
29,900
29,900
29,960
29,900
29,900
29,900
29,960
29,960
29,900
30,960
30,960
30,960
30,960
30,960
30,960
30,960
30,960
30,960
30,960
31,960
31,960
31,960
31,960
31,960
31,1020
31,1020
31,960
31,1020
31,960
32,1020
32,1020
32,1020
32,1020
32,1020
32,1020
32,1020
32,1020
32,1020
32,1020
33,1020
33,1020
33,1020
33,1020
33,1020
33,1080
33,1020
33,1020
33,1020
33,1020
34,1080
34,1140
34,1020
34,1020
34,1140
34,1080
34,1020
34,1140
34,1140
34,1080
35,1080
35,1140
35,1080
35,1140
35,1140
35,1080
35,1140
35,1080
35,1140
35,1080
36,1140
36,1140
36,1140
36,1140
36,1200
36,1140
36,1140
36,1200
36,1140
36,1200
37,1200
37,1200
37,1200
37,1200
37,1200
37,1200
37,1140
37,1200
37,1200
37,1140
38,1200
38,1200
38,1200
38,1200
38,1200
38,1200
38,1200
38,1200
38,1200
38,1200
39,1200
39,1260
39,1200
39,1200
39,1260
39,1200
39,1200
39,1260
39,1200
39,1200
40,1260
40,1200
40,1260
40,1200
40,1200
40,1260
40,1200
40,1320
40,1260
40,1260
41,1200
41,1260
41,1200
41,1260
41,1200
41,1200
41,1260
41,1260
41,1260
41,1260
42,1320
42,1320
42,1320
42,1320
42,1260
42,1260
42,1260
42,1320
42,1320
42,1380
43,1320
43,1320
43,1380
43,1380
43,1380
43,1320
43,1320
43,1320
43,1320
43,1260
44,1260
44,1380
44,1380
44,1320
44,1320
44,1320
44,1320
44,1380
44,1320
44,1380
45,1320
45,1320
45,1500
45,1500
45,1380
45,1320
45,1380
45,1380
45,1380
45,1320
46,1500
46,1500
46,1380
46,1500
46,1380
46,1500
46,1380
46,1500
46,1380
46,1500
47,1500
47,1380
47,1500
47,1500
47,1500
47,1380
47,1500
47,1500
47,1380
47,1380
48,1500
48,1500
48,1500
48,1500
48,1380
48,1560
48,1380
48,1500
48,1500
48,1560
49,1560
49,1380
49,1560
49,1500
49,1560
49,1500
49,1560
49,1560
49,1560
49,1500
50,1560
50,1560
50,1560
50,1560
50,1560
50,1560
50,1560
50,1560
50,1560
50,1560
51,1560
51,1560
51,1560
51,1500
51,1620
51,1560
51,1560
51,1500
51,1620
51,1560
52,1560
52,1620
52,1560
52,1620
52,1560
52,1620
52,1560
52,1740
52,1620
52,1620
53,1620
53,1560
53,1620
53,1560
53,1740
53,1560
53,1620
53,1620
53,1560
53,1620
54,1620
54,1740
54,1560
54,1740
54,1740
54,1740
54,1740
54,1740
54,1740
54,1620
55,1740
55,1560
55,1740
55,1740
55,1620
55,1740
55,1620
55,1740
55,1620
55,1740
56,1620
56,1740
56,1620
56,1740
56,1620
56,1740
56,1740
56,1740
56,1740
56,1740
57,1740
57,1620
57,1740
57,1620
57,1860
57,1740
57,1740
57,1740
57,1740
57,1740
58,1620
58,1860
58,1740
58,1860
58,1620
58,1620
58,1860
58,1620
58,1860
58,1620
59,1860
59,1740
59,1740
59,1860
59,1860
59,1860
59,1620
59,1860
59,1740
59,1740
60,1740
60,1740
60,1740
60,1860
60,1740
60,1620
60,1860
60,1860
60,1860
60,1740
61,1860
61,1620
61,1740
61,1860
61,1860
61,1860
61,1740
61,1860
61,1740
61,1860
62,1740
62,1860
62,1740
62,1860
62,1980
62,1860
62,1980
62,1860
62,1860
62,1980
63,1980
63,1860
63,1980
63,1860
63,1740
63,1980
63,1740
63,1980
63,1740
63,1860
64,1860
64,1740
64,1740
64,1740
64,1980
64,1740
64,1860
64,1860
64,1860
64,1860
65,1980
65,1860
65,1980
65,1980
65,1980
65,1980
65,1740
65,1860
65,1860
65,1740
66,1980
66,1980
66,1860
66,1860
66,1980
66,1860
66,1860
66,1740
66,1980
66,1980
67,1980
67,1980
67,1860
67,1980
67,1860
67,1980
67,1860
67,1980
67,1860
67,1980
68,1980
68,1860
68,1980
68,1860
68,1980
68,1860
68,1980
68,1860
68,1980
68,1980
69,1860
69,1980
69,1860
69,1980
69,1980
69,2100
69,1860
69,1980
69,1980
69,1980
70,1980
70,1980
70,2100
70,1980
70,2100
70,1860
70,1980
70,2100
70,1860
70,1980
71,2100
71,2100
71,1980
71,1980
71,1860
71,1980
71,2100
71,2100
71,1980
71,2100
72,2100
72,1980
72,1980
72,1860
72,2100
72,1980
72,2100
72,2100
72,1980
72,2100
73,1980
73,2100
73,1980
73,2100
73,2100
73,2100
73,2100
73,2100
73,2100
73,1980
74,2100
74,1980
74,2100
74,1980
74,2100
74,2100
74,2100
74,2100
74,1980
74,2100
75,2100
75,2100
75,1980
75,2100
75,1980
75,2100
75,2100
75,1980
75,2100
75,2100
76,2100
76,1980
76,4260
76,2100
76,1980
76,2100
76,2100
76,2280
76,1980
76,2100
77,1980
77,2100
77,2100
77,2100
77,2100
77,1980
77,2280
77,1980
77,2100
77,1980
78,2100
78,2100
78,2280
78,2280
78,2100
78,2280
78,2100
78,2280
78,2100
78,2100
79,1980
79,2280
79,2100
79,1980
79,2280
79,2280
79,2280
79,2100
79,2280
79,1980
80,2100
80,2100
80,1980
80,2280
80,2100
80,2280
80,2100
80,2280
80,1980
80,2280
81,2280
81,2280
81,2100
81,2100
81,2280
81,2100
81,2100
81,2280
81,2280
81,2100
82,2280
82,2280
82,2280
82,2280
82,2100
82,2280
82,2100
82,2280
82,2100
82,2280
83,2280
83,2460
83,2280
83,2100
83,2280
83,2100
83,2280
83,2280
83,2280
83,2280
84,2100
84,2280
84,2280
84,2280
84,2280
84,2460
84,2460
84,2460
84,2100
84,2460
85,2280
85,2100
85,2460
85,2280
85,2460
85,2100
85,2280
85,2280
85,2460
85,2460
86,2280
86,2280
86,2100
86,2280
86,2280
86,2460
86,2280
86,2280
86,2460
86,2100
87,2460
87,2100
87,2460
87,2100
87,2460
87,2100
87,2280
87,2280
87,2280
87,2280
88,2280
88,2280
88,2280
88,2460
88,2100
88,2460
88,2460
88,2460
88,2460
88,2280
89,2280
89,2460
89,2280
89,2280
89,2460
89,2100
89,2460
89,2280
89,2460
89,2460
90,2100
90,2460
90,2460
90,2460
90,2280
90,2280
90,2460
90,2460
90,2460
90,2460
91,2460
91,2280
91,2460
91,2460
91,2460
91,2460
91,2460
91,2460
91,2460
91,2460
92,2280
92,2460
92,2460
92,2460
92,2280
92,2460
92,2460
92,2460
92,2460
92,2700
93,2700
93,2280
93,2700
93,2700
93,2700
93,2460
93,2460
93,2460
93,2280
93,2460
94,2280
94,2460
94,2280
94,2700
94,2460
94,2460
94,2460
94,2460
94,2460
94,2280
95,2700
95,2700
95,2700
95,2460
95,2460
95,2460
95,2460
95,2460
95,2280
95,2460
96,2280
96,2700
96,2280
96,2460
96,2700
96,2700
96,2700
96,2460
96,2700
96,2280
97,2700
97,2280
97,2700
97,2460
97,2460
97,2700
97,2460
97,2460
97,2460
97,2700
98,2700
98,2700
98,2700
98,2700
98,2700
98,2700
98,2700
98,2460
98,2460
98,2280
99,2700
99,2460
99,2700
99,2700
99,2700
99,2700
99,2460
99,2700
99,2460
99,2700
100,2460
100,2700
100,2700
100,2700
100,2460
100,2280
100,2700
100,2280
100,2460
100,2700
